regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGAPA1995FRZ,51.516,kunits,Aggregated DemandResidentialBuildingApartments1995Freezer
TO,2016,ADEMRESBDGAPA2000FRZ,13.496,kunits,Aggregated DemandResidentialBuildingApartments2000Freezer
TO,2016,ADEMRESBDGAPA2005FRZ,14.438,kunits,Aggregated DemandResidentialBuildingApartments2005Freezer
TO,2016,ADEMRESBDGAPA2010FRZ,33.354,kunits,Aggregated DemandResidentialBuildingApartments2010Freezer
TO,2016,ADEMRESBDGAPA2015FRZ,194.291,kunits,Aggregated DemandResidentialBuildingApartments2015Freezer
TO,2016,ADEMRESBDGAPA2020FRZ,0.0,kunits,Aggregated DemandResidentialBuildingApartments2020Freezer
TO,2016,ADEMRESBDGAPA2025FRZ,0.0,kunits,Aggregated DemandResidentialBuildingApartments2025Freezer
TO,2016,ADEMRESBDGAPA2030FRZ,0.0,kunits,Aggregated DemandResidentialBuildingApartments2030Freezer
TO,2016,ADEMRESBDGAPA2035FRZ,0.0,kunits,Aggregated DemandResidentialBuildingApartments2035Freezer
TO,2016,ADEMRESBDGAPA2040FRZ,0.0,kunits,Aggregated DemandResidentialBuildingApartments2040Freezer
TO,2016,ADEMRESBDGAPA2045FRZ,0.0,kunits,Aggregated DemandResidentialBuildingApartments2045Freezer
TO,2016,ADEMRESBDGSDE1960FRZ,154.749,kunits,Aggregated DemandResidentialBuildingSingle Detached1960Freezer
TO,2016,ADEMRESBDGSDE1977FRZ,84.437,kunits,Aggregated DemandResidentialBuildingSingle Detached1977Freezer
TO,2016,ADEMRESBDGSDE1983FRZ,12.914,kunits,Aggregated DemandResidentialBuildingSingle Detached1983Freezer
TO,2016,ADEMRESBDGSDE1995FRZ,21.308,kunits,Aggregated DemandResidentialBuildingSingle Detached1995Freezer
TO,2016,ADEMRESBDGSDE2000FRZ,4.238,kunits,Aggregated DemandResidentialBuildingSingle Detached2000Freezer
TO,2016,ADEMRESBDGSDE2005FRZ,6.33,kunits,Aggregated DemandResidentialBuildingSingle Detached2005Freezer
