regions,periods,tech,maxact,maxaxt_notes,maxact_notes
TO,2050,COMBDGICINewSHFUR___ESRPRO_23,0,,
TO,2050,COMBDGICINewSHFUR___HIGHFO_23,0,,
TO,2050,COMBDGICINewSHFUR___HIGLFO_23,0,,
TO,2050,COMBDGICINewSHFUR___HIGNGA_16,0,,
TO,2050,COMBDGICINewSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGICINewSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGICINewSHFUR___STDELC_16,0,,
TO,2050,COMBDGICINewSHFUR___STDELC_23,0,,
TO,2050,COMBDGICINewSHFUR___STDHFO_16,0,,
TO,2050,COMBDGICINewSHFUR___STDHFO_23,0,,
TO,2050,COMBDGICINewSHFUR___STDKER_16,0,,
TO,2050,COMBDGICINewSHFUR___STDKER_23,0,,
TO,2050,COMBDGICINewSHFUR___STDLFO_16,0,,
TO,2050,COMBDGICINewSHFUR___STDLFO_23,0,,
TO,2050,COMBDGICINewSHFUR___STDNGA_16,0,,
TO,2050,COMBDGICINewSHFUR___STDNGA_23,0,,
TO,2050,COMBDGICINewSHFUR___STDPRO_16,0,,
TO,2050,COMBDGICINewSHFUR___STDPRO_23,0,,
TO,2050,COMBDGICINewSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGICINewSHFURMEDSTDHH2_23,0,,
TO,2050,COMBDGICINewSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGICINewSHHEP___STDELC_16,0,,
TO,2050,COMBDGICINewSHHEP___STDNGA_23,0,,
TO,2050,COMBDGICINewSHPLT___STDELC_16,0,,
TO,2050,COMBDGICINewSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGICINewSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGICINewSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGICINewWH______STDELC_16,0,,
TO,2050,COMBDGICINewWH______STDHFO_16,0,,
TO,2050,COMBDGICINewWH______STDKER_16,0,,
TO,2050,COMBDGICINewWH______STDLFO_16,0,,
TO,2050,COMBDGICINewWH______STDNGA_16,0,,
TO,2050,COMBDGICINewWH______STDPRO_16,0,,
TO,2050,COMBDGICINewWHSTHBCKSTDELC_23,0,,
