regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,S,P2,RESBDGAPAOldCWA___FRHIGELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldCWA___FRHIGELC_23,0.92,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldCWA___FRHIGELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldCWA___FRHIGELC_23,0.73,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldCWA___FRHIGELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,F,D,RESBDGAPAOldCWA___FRHIGELC_23,0.96,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,F,N,RESBDGAPAOldCWA___FRHIGELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,F,P1,RESBDGAPAOldCWA___FRHIGELC_23,0.67,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,F,P2,RESBDGAPAOldCWA___FRHIGELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldCWA___FRESRELC_23,1,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,W,N,RESBDGAPAOldCWA___FRESRELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,W,P1,RESBDGAPAOldCWA___FRESRELC_23,0.66,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,W,P2,RESBDGAPAOldCWA___FRESRELC_23,0.7,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
