regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2022,PASTRAROABUSIUBMWAYCONVDSL____16,0.055974033,,
TO,2022,PASTRAROABUSIUBVIVACONVDSL____16,0.006388201,,
TO,2022,PASTRAROABUSSCB___CONVDSL____16,0.162700147,,
TO,2022,PASTRAROABUSURBTBUCONVDSL____16,0.961903301,,
TO,2022,PASTRAROABUSURBWTBCONVDSL____16,0.175401381,,
TO,2022,PASTRAROACAR___ADRCONVDSL____16,1.657180569,,
TO,2022,PASTRAROACAR___APGCONVDSL____16,0.207988327,,
TO,2022,PASTRAROACAR___RSHCONVDSL____16,0.013615241,,
TO,2022,PASTRAROACAR___TAXCONVDSL____16,0.020148063,,
TO,2022,PASTRAROATRULGTADRCONVDSL____16,1.254829879,,
TO,2022,PASTRAROATRULGTAPGCONVDSL____16,0.158438936,,
TO,2022,PASTRAROATRULGTRSHCONVDSL____16,0.012703601,,
TO,2022,PASTRAROATRULGTTAXCONVDSL____16,0.006476065,,
TO,2022,PASTRAROABUSSCB___CONVNGA____16,0.006201021,,
TO,2022,PASTRAROABUSURBTBUCONVNGA____16,0.000248029,,
TO,2022,PASTRAROABUSURBWTBCONVNGA____16,0.000153107,,
TO,2022,PASTRAROACAR___ADRCONVNGA____16,0.089349736,,
TO,2022,PASTRAROACAR___APGCONVNGA____16,0.012785269,,
