regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2045,RESBDGSDEOldWHSYS___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHSYS___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHSYS___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHSYS___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHSYS___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHSYS___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHSYS___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHSYS___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHSYS___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHSYS___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHSYS___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHSYS___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
